price,rating,stars,breakfast,month,day_of_week,is_weekend,stay_length,event_count,log_review_count,log_distance,price_vs_city_mean,week_of_year,is_holiday,city_encoded
2038,7.8,3.0,0,4,1,0,2,3,10.113991560303875,1.9021075263969205,0.24174217540144136,17,0,9603.977611940298
9400,8.7,4.0,0,4,1,0,2,3,8.65591111072806,0.6931471805599453,1.1150031642657257,17,0,9603.977611940298
7475,8.6,5.0,1,4,1,0,2,3,9.546598299920646,0.5877866649021191,0.886664750307053,17,0,9603.977611940298
7400,8.7,3.0,0,4,1,0,2,3,8.507950610049305,0.6931471805599453,0.8777684484645074,17,0,9603.977611940298
4482,8.3,3.0,0,4,1,0,2,3,8.702842538302868,0.4700036292457356,0.53164299811053,17,0,9603.977611940298
4778,7.6,3.0,1,4,1,0,2,3,8.834482608620677,0.9555114450274363,0.5667537360491103,17,0,9603.977611940298
4693,8.1,4.0,1,4,1,0,2,3,7.1631723908466425,0.4700036292457356,0.5566712606275586,17,0,9603.977611940298
3350,7.8,4.0,0,4,1,0,2,3,9.18686701579054,1.308332819650179,0.3973681489670405,17,0,9603.977611940298
10269,8.9,5.0,1,4,1,0,2,3,9.373733918884618,0.7419373447293773,1.2180816482813548,17,0,9603.977611940298
7046,9.7,5.0,0,4,1,0,2,3,7.7437032581737535,0.7884573603642702,0.8357779037676918,17,0,9603.977611940298
6719,8.6,4.0,1,4,1,0,2,3,9.29302573859479,0.4700036292457356,0.7969900277341926,17,0,9603.977611940298
4290,8.4,3.0,1,4,1,0,2,3,9.253112463820052,2.0918640616783932,0.5088684653936131,17,0,9603.977611940298
4798,9.0,3.0,0,4,1,0,2,3,8.283241441385425,0.832909122935104,0.5691260832071224,17,0,9603.977611940298
7062,8.7,4.0,0,4,1,0,2,3,8.507748732588238,0.4700036292457356,0.8376757814941015,17,0,9603.977611940298
3881,8.4,4.0,1,4,1,0,2,3,7.81035268372429,0.9555114450274363,0.4603539660122639,17,0,9603.977611940298
6359,8.3,5.0,1,4,1,0,2,3,7.5822291942764615,0.37156355643248307,0.7542877788899733,17,0,9603.977611940298
5801,9.0,4.0,0,4,1,0,2,3,6.86484777797086,0.8754687373538999,0.6880992931814334,17,0,9603.977611940298
4193,8.5,3.0,1,4,1,0,2,3,8.962263554116761,0.8754687373538999,0.497362581677254,17,0,9603.977611940298
